id,title,released,overall,reviews,tags
2464220,Stronghold Conquest,"24 Aug, 2023",Positive,10,"Tower Defense, Strategy, Medieval, Casual, Combat, 3D, Physics, Indie, Tactical, War, Moddable, Singleplayer, PvE, Destruction, Action, Open World, Exploration, Historical, Real Time Tactics, Resource Management"
1533560,守卫魔兽-Guardian of Warcraft,"26 Mar, 2021",Positive,13,"Tactical RPG, Strategy, Hack and Slash, Real Time Tactics, Action, Tower Defense, RTS, Action-Adventure, 3D, Third Person, Swordplay, Casual, Indie, Medieval, Magic, Nature, Combat, Singleplayer, RPG, Wargame"
2248820,Five Nights At Smog's,"8 Jul, 2023",Positive,33,"Action, Strategy, God Game, Immersive Sim, 3D, Atmospheric, Dark, Dystopian , Survival Horror, Free to Play, Early Access, Simulation, Indie, Thriller, Physics, Singleplayer"
915490,Frontline Zed,"3 Oct, 2019",Mixed,249,"Indie, Action, Strategy, Violent, Zombies, Gore, Survival, Tower Defense, Twin Stick Shooter, Horror, Post-apocalyptic, Top-Down Shooter, Singleplayer, Isometric, Co-op, Shooter, 3D, Top-Down, Combat, Inventory Management"
1787820,Mirror Party,"2 Dec, 2021",Mixed,1353,"Casual, Action, Strategy, Action-Adventure, MOBA, 3D, 3D Platformer, Real Time Tactics, Multiplayer, Level Editor, Online Co-Op, Co-op, Simulation, Top-Down Shooter, Funny, Singleplayer, Early Access, Indie, Anime, Nudity"
1894460,Zombie Within,"22 Feb, 2024",Mostly Positive,14,"Early Access, Social Deduction, Online Co-Op, Casual, Funny, Zombies, Party Game, Multiplayer, Survival Horror, Indie, Tactical, Stealth, Choices Matter, Shooter, PvP, Co-op, Action, Third-Person Shooter, Strategy, 3D"
2720,ThreadSpace: Hyperbol,"12 Jul, 2007",Positive,15,"Multiplayer, Action, Strategy, Real-Time, 3D, Team-Based, Indie, Space"
2575060,Lively Chair Simulator,"20 Oct, 2023",Very Positive,55,"Simulation, Action-Adventure, 3D, Comedy, Fantasy, Funny, Controller, Physics, PvP, Action, Strategy, Indie, Multiplayer, Singleplayer, Co-op, Online Co-Op, Free to Play"
1609830,WillWalker,"24 May, 2021",Very Positive,84,"Free to Play, Action, Indie, Strategy, Point & Click, Casual, Arcade, Shooter, Shoot 'Em Up, Arena Shooter, Top-Down, 3D, FPS, Third Person, Sci-fi, Futuristic, Combat, PvE, Singleplayer, Cyberpunk"
2077060,SATUS,"10 Feb, 2023",Positive,39,"Action, War, Grand Strategy, Turn-Based Strategy, Strategy, Turn-Based Tactics, 2D, 3D, Pixel Graphics, Magic, Tactical, Fantasy, Singleplayer, Choices Matter, Simulation, Casual, Indie, Adventure, 4X, Sandbox"
938480,The Savior's Gang,"1 Mar, 2019",Positive,29,"Dark Humor, Top-Down, Strategy, Puzzle, Funny, Exploration, Linear, Third Person, God Game, Hidden Object, Action, 3D, Casual, Mythology, Faith, Lemmings, Adventure, Singleplayer, Indie, Violent"
1255050,Craft In Abyss,"30 Jan, 2021",Positive,39,"Simulation, RPG, Indie, Strategy, Action, Crafting, Survival, Tower Defense, Roguelite, Building, 3D, Roguelike, Early Access, Hand-drawn, Linear, Base Building, Perma Death, Singleplayer, Arcade, 2D"
